fold,mae_train,mae_test,mape_train,mape_test,mae_total,mape_total,epochs,seed
1,0.01703105866909027,0.018436692655086517,3.282475233078003,5.23855447769165,0.0173121839761734,3.6736912727355957,1500,22528
2,0.021696507930755615,0.11768370866775513,4.140920639038086,13.944252014160156,0.04089394956827164,6.101586818695068,1500,22529
3,0.031197503209114075,0.0835459977388382,4.699625015258789,13.87949275970459,0.04166720062494278,6.5355987548828125,1500,22530
4,0.010376805439591408,0.001246325671672821,1.6485111713409424,1.0369925498962402,0.00855070911347866,1.5262075662612915,1500,22531
5,0.011302839033305645,0.024393539875745773,3.832794427871704,17.455373764038086,0.0139209795743227,6.557310581207275,1500,22532
6,0.0072419289499521255,0.0934448316693306,3.7864811420440674,66.43658447265625,0.02448250912129879,16.31650161743164,1500,22533
7,0.015343152917921543,0.09528316557407379,2.6735305786132812,10.054344177246094,0.03133115544915199,4.149693489074707,1500,22534
8,0.015567065216600895,0.022138040512800217,3.6821651458740234,9.709491729736328,0.01688126102089882,4.887630462646484,1500,22535
9,0.02547827735543251,0.05633139610290527,3.217329740524292,6.812069416046143,0.031648900359869,3.9362778663635254,1500,22536
10,0.04166508466005325,0.001984119415283203,5.410617828369141,1.8044099807739258,0.033728886395692825,4.689375877380371,1500,22537
11,0.010141639970242977,0.005353998392820358,1.2995648384094238,5.263737201690674,0.009184111841022968,2.0923991203308105,1500,22538
12,0.02222619578242302,0.12218248844146729,3.990659475326538,13.76108455657959,0.04221745580434799,5.944744110107422,1500,22539
13,0.010397497564554214,0.013360410928726196,3.275374174118042,3.8222134113311768,0.010990080423653126,3.384742021560669,1500,22540
14,0.017235595732927322,0.01763969287276268,5.827369213104248,8.072762489318848,0.017316415905952454,6.2764482498168945,1500,22541
15,0.02502216398715973,0.05977722257375717,3.4764041900634766,9.440052032470703,0.03197317570447922,4.66913366317749,1500,22542
16,0.019697312265634537,0.1441548764705658,3.178600311279297,20.42886734008789,0.04458882659673691,6.628653526306152,1500,22543
17,0.019262615591287613,0.03915970027446747,8.099393844604492,38.27032470703125,0.023242032155394554,14.133578300476074,1500,22544
18,0.024516511708498,0.029598772525787354,3.288022994995117,4.304225921630859,0.02553296461701393,3.4912631511688232,1500,22545
19,0.011159117333590984,0.022342268377542496,4.413633346557617,16.104223251342773,0.013395747169852257,6.751751899719238,1500,22546
20,0.021742694079875946,0.11681254208087921,4.4202752113342285,11.973552703857422,0.04075666517019272,5.930930137634277,1500,22547
21,0.013602756895124912,0.01581374928355217,4.649508476257324,13.62169075012207,0.014044955372810364,6.443944454193115,1500,22548
22,0.014789112843573093,0.09555478394031525,2.594409942626953,13.10667896270752,0.030942246317863464,4.696864128112793,1500,22549
23,0.031567253172397614,0.03748026490211487,4.7871575355529785,6.1085968017578125,0.032749854028224945,5.051445007324219,1500,22550
24,0.030969955027103424,0.08182093501091003,4.812901020050049,13.404233932495117,0.041140150278806686,6.531167507171631,1500,22551
25,0.010472854599356651,0.03350072354078293,4.8368239402771,18.3450927734375,0.015078428201377392,7.538477420806885,1500,22552
